ds,unix,symbol,open,high,low,y,Volume BTC,Volume USD,is_outlier,SMA_20,EMA_20,BB_upper,BB_lower,BB_mid,RSI,daily_return,log_return,volatility_21d
2015-01-12,1421020800,BTC/USD,270.4,272.43,263.54,268.16,2133679.78,7909.25,0,297.00550000000004,294.1792804972244,342.1218065280928,251.88919347190728,297.00550000000004,22.895348837209312,-3.121387283236987,-0.031711406449796205,54.237291363373295
2015-01-13,1421107200,BTC/USD,268.16,268.72,216.0,221.0,13652228.51,57653.9,0,291.9485,287.20982521177444,346.8209132683694,237.07608673163065,291.9485,15.108962553713937,-17.5865155131265,-0.1934211157759655,82.73031735707393
2015-01-14,1421193600,BTC/USD,221.0,230.89,152.4,162.0,23647658.54,123599.76,0,284.07900000000006,275.2850799535102,362.4803417983995,205.67765820160065,284.07900000000006,6.801824075600237,-26.696832579185525,-0.3105663662853688,130.38363125481783
2015-01-15,1421280000,BTC/USD,162.0,233.9,161.1,208.81,17721319.5,86158.17,0,277.9755,268.9541199579378,359.9603431370732,195.9906568629268,277.9755,26.204179210200095,28.895061728395067,0.2538284123495864,163.8902265138024
2015-01-16,1421366400,BTC/USD,214.77,223.15,198.04,206.6,7308109.72,34657.09,0,272.511,263.0156323428961,358.334480261584,186.68751973841603,272.511,25.885295537320644,-1.0583784301518184,-0.01064019089643234,162.69507971300408
2015-01-17,1421452800,BTC/USD,206.6,212.84,192.17,200.1,4007435.83,19933.78,0,266.68449999999996,257.02366735785836,355.6609440677831,177.70805593221684,266.68449999999996,28.93226739908775,-3.1461761858664117,-0.031967315095850476,162.50456298884606
2015-01-18,1421539200,BTC/USD,200.1,222.0,195.02,211.42,3816641.51,18205.49,0,261.5165,252.68046094282423,350.73728994801235,172.29571005198767,261.5165,36.275926117015786,5.65717141429285,0.05502943475082921,164.5011434517038
2015-01-19,1421625600,BTC/USD,210.05,220.94,207.7,216.88,2729178.12,12796.47,0,256.76349999999996,249.27089323398383,344.79426861021506,168.73273138978487,256.76349999999996,33.98717263495456,2.5825371298836552,0.02549752884989322,165.17958069114928
2015-01-20,1421712000,BTC/USD,217.84,217.84,201.98,211.08,2998319.48,14234.73,0,251.35500000000002,245.63366530693776,336.4643526928119,166.24564730718816,251.35500000000002,32.96526697770865,-2.6742899299151524,-0.027106996652942892,165.17842353955297
2015-01-21,1421798400,BTC/USD,211.08,228.9,205.0,228.59,4937625.47,22796.06,0,246.969,244.0104590872294,326.8655941965644,167.07240580343557,246.969,38.543795446984454,8.295433011180586,0.07969279733448964,168.11394006147432
2015-01-22,1421884800,BTC/USD,228.59,239.0,226.01,233.0,6003089.46,25809.37,0,242.7935,242.96184393606472,315.82117846580655,169.76582153419344,242.7935,39.805418489898514,1.9292182510171063,0.019108447693743747,168.54191058984267
